,Mean Grains and grain-based products,Mean Vegetables and vegetable products (including fungi,Mean Starchy roots and tubers,"Mean Legumes, nuts and oilseeds",Mean Fruit and fruit products,Mean Meat and meat products (including edible offal),"Mean Fish and other seafood (including amphibians, rept",Mean Milk and dairy products,Mean Eggs and egg products,Mean Sugar and confectionary,Mean Animal and vegetable fats and oils,Mean Fruit and vegetable juices,Mean Non-alcoholic beverages (excepting milk based beve,Mean Alcoholic beverages,Mean Drinking water (water without any additives except,"Mean Herbs, spices and condiments",Mean Food for infants and small children,Mean Products for special nutritional use,Mean Composite food (including frozen products),"Mean Snacks, desserts, and other foods"
Austria,247.9081259259259,76.73184183006535,37.822242701525056,5.540862309368192,120.97955490196077,88.19017843137254,15.633211328976033,187.0701843137255,8.546345315904137,18.814952505446627,18.041572331154683,116.1282008714597,376.85766187363834,85.49886165577341,826.6952346405227,18.18307559912854,0.0,3.1982570806100217,142.1843908496732,20.15391328976035
Belgium,207.96624942129634,104.60453031517096,103.0661680911681,10.542196403133902,125.87377581908834,102.96969591346156,21.009868367165243,215.68245049857546,7.952715455840457,23.658603988603986,29.052539307336183,84.20348557692307,542.8908386752138,136.3935007122507,520.023832977208,26.351292378917382,2.870886752136753,5.230123753561253,115.25451967592593,21.94958613782051
Bulgaria,89.83632848837209,75.87100348837211,34.478796511627905,6.585316860465117,54.605819767441865,46.33544476744186,3.201212209302326,192.6890668604651,8.050351744186045,11.938119476744184,13.678872093023259,72.13444767441861,46.351968023255814,0.07646802325581394,329.83520348837214,2.717913372093023,64.66803197674422,0.008720930232558138,1.6626947674418604,12.986767441860467
Cyprus,161.041804180418,103.6897689768977,68.04730473047304,15.33993399339934,95.53905390539055,72.51595159515952,18.50935093509351,229.042904290429,2.295929592959296,12.6028602860286,6.028602860286028,115.3663366336634,155.2035203520352,0.9570957095709572,0.2750275027502751,0.8085808580858086,0.132013201320132,0.0,139.2475247524752,17.47964796479648
Czech Republic,263.5072996175096,115.99483892902674,94.04618232044199,7.724997662558436,138.99933042923922,167.30848002549936,15.783705482362942,202.32743263918405,18.981374840628984,29.295482787930304,39.76027050573736,45.11368465788355,129.83085422864428,308.64717828304293,1138.7824054398639,19.82059881002975,0.7617022949426265,0.12112197195070126,16.91477815554611,18.71842562685933
Germany,219.2417699575309,108.94111402864196,59.248872029629624,8.43554670617284,168.6258248493827,96.52287946666668,15.556006686419753,203.66414280691356,7.892845303703703,21.61850589234568,21.098125076543212,204.19096767407402,730.5930470320989,182.72409915061726,865.6792862123456,26.564601157530866,8.627165530864197,0.9271652938271605,64.15681818271607,19.215523982222223
Denmark,185.07104181472894,132.352080860346,85.71488214549863,7.895380560328768,147.59397454385703,107.98042244401437,15.78924704709631,393.4681480717149,13.560389490498991,30.30745565027833,27.071890709197376,82.43547736663275,652.1815636987483,180.14753044938635,763.0216454018674,10.248559109791294,25.779111055871606,0.0,0.44499003742569077,11.912962009865259
Spain,204.304001375043,144.5824080440014,63.265529964478056,31.246600206256446,142.2870665749971,154.8553145410794,55.18124555975708,413.1176458118483,13.883653030823877,14.952222986134984,30.400049444253465,79.61473587716283,86.47889939268936,46.86616534891716,600.7014369199037,14.590079294144608,0.40145525381001496,1.2472212673312708,38.23237653259998,24.418689125701846
Finland,150.15888024592357,101.29242607814308,76.1340483159583,5.568118083400161,123.45845512563486,94.38307137129111,19.10054697941727,447.0598003541834,9.971688563663905,23.240909282277467,24.79818364073777,128.95213021251004,351.0591190078411,57.109711864029244,627.8529379510827,13.811529871692061,42.82860090884791,2.474316459502807,13.937222656598058,13.038337487748374
France,220.21358839993462,129.0579959303751,66.92232790599937,33.36115449631679,124.20014887986085,124.39136110040974,27.319469166695857,226.61479654385414,13.992744495032628,26.12133744381793,24.925164933632196,66.25426616000654,335.13241279958913,80.26502038898423,713.5800814847244,18.402261833549307,0.6249781108815186,1.029471509123385,0.5534911684703301,28.30165010390035
United Kingdom,147.8811291841737,83.14322719792462,69.79171651387827,22.187340589190224,83.25088665488923,60.71318610580596,17.168254362426786,254.82994561529156,7.816274329959256,14.037400870575505,10.008033490896358,48.94873235134963,327.99973021708684,124.51994451553348,432.96460633912653,20.034678241978607,135.13935839222052,5.538414378023937,57.614874972943724,18.9837718837535
Greece,131.27375856712194,47.5854210348222,50.19744868955334,5.056000061523317,73.35854708071858,41.679745908699395,14.644694229112835,361.5398915651532,6.799640396210163,6.820896702350191,8.159978420696444,123.32409253106933,25.766457487387726,2.208410237480005,0.50203026947213,0.7911909837578442,3.2452934662236994,0.020165805340223948,212.38500615233178,24.545650301464253
Hungary,238.84758823529415,156.00187745098034,108.16446078431375,21.753799019607843,186.1602794117647,178.6664215686274,8.082941176470587,262.3880906862745,25.462980392156858,29.792330882352942,44.88666666666667,36.793602941176474,293.8453431372549,66.92622549019607,131.83455882352942,15.864678921568627,0.196078431372549,0.0,4.9037009803921565,1.6424019607843139
Ireland,244.7519453969545,140.14402326223413,174.95194257817042,14.92687783331396,90.92741584331047,170.59541937405555,23.78287178891085,281.63721316691857,11.225549227013833,22.918287603161687,26.113374128211092,43.26763626060677,695.1906754039288,328.6384239073579,526.3538381814483,28.135367110310355,0.0008136696501220506,3.8961196675578287,17.553112199232825,15.317595824131118
Italy,248.22491122479687,222.40632560938909,50.20523121677199,12.489338950747317,190.99461831678204,109.54455612398432,44.67143544989467,197.31780218677898,20.804889156384792,19.527929882636176,38.47235329521517,35.899833483799775,150.1325970508577,90.99213301233821,648.881061289999,9.89231216771993,2.0287641689236637,0.9927615608385997,12.024994482896977,11.729075132912024
Latvia,232.7856785673418,100.64821489872983,124.80135026890947,8.823824236182631,139.23763588511272,122.76202082618147,16.5600411946447,189.92013960407365,9.121575695159631,23.066369149788304,15.402631880077811,62.40731204943357,464.24733951253006,32.60423961551665,214.94581988785902,25.143630449708205,0.0,0.37933401991074495,178.68112484265933,17.07816683831102
Netherlands,203.43281569758614,103.39442158797631,98.07948960072872,6.812819113405192,106.94247624108093,96.23122779717625,10.72385258843176,358.19496045240624,5.86012562623349,31.797053894033702,26.497457492029756,117.05571891604674,757.819675952634,118.96837961135569,451.17626544709276,26.618752694701683,2.566502201305602,9.344032260513131,91.21949597692425,50.739889555184455
Romania,180.44139943835708,381.9068937874716,114.7449456446833,17.85101502308594,154.32267497071186,188.45784050031008,18.194502101853768,151.57263891185997,35.09107068775412,16.399213045276,50.684529201984695,8.17778626559162,218.2372677279305,85.14504052098408,386.52197639721595,8.80549174763972,0.0,0.011887533595203635,38.10591177382676,12.973337571497485
Sweden,189.23509083606157,53.11022236657485,105.21121569098717,5.480773987077552,118.47405415822205,91.46334901219491,28.265087107433008,384.578242910842,8.215345244591106,20.958266514663336,13.377166417658371,71.301631872629,462.6671040551542,92.39371386131754,382.97635215836067,26.780998458313846,1.4832666424154237,3.71778923937709,190.6704646386565,21.8397994855272
